name,variety,season,spacing,notes,days_to_maturity,sow_depth,when_to_sow,days_to_emerge,seed_spacing,row_spacing,thinning
Broccoli,Chinese Broccoli / Kailaan,Cool,8,Asian green; thick stems; mild flavor,45,0.5,Early spring or fall,7,8,18,No
Beet,Chioggia,Cool,4,Italian heirloom; red and white striped interior,55,0.5,Early spring or fall,7,1,12,4 inches
Tomato (Cherry),Chocolate Cherry Pole,Warm,24,Indeterminate; dark cherry; rich sweet flavor,70,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Tomato (Cherry),Chocolate Sprinkles Pole,Warm,24,Indeterminate; dark red striped cherry,70,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Microgreens,Ciao Bella Basil Blend,Warm,1,Basil microgreens blend; aromatic,12,0.125,Indoor sowing year-round,5,1,4,No
Microgreens,Cilantro,Cool,1,Cilantro microgreens; bright citrusy flavor,14,0.25,Indoor sowing year-round,7,1,4,No
Pumpkin,Cinderella,Warm,72,Flat bright orange; fairy tale shape,100,1,After last frost,7,72,96,No
Potato,Clancy,Warm,12,White-skinned; round tubers; good storage,90,4,Early spring after last hard frost,14,12,30,No
Okra,Clemson Spineless 80,Warm,12,Classic Southern favorite; spineless pods,55,1,After last frost,10,12,36,No
Cover Crop,Common Buckwheat,Cool,2,Fast growing; attracts pollinators,30,0.5,Spring through late summer,5,2,6,No
Sorrel,Common,Cool,8,Tangy lemon flavored perennial green,60,0.25,Early spring,7,8,18,No
Bean (Bush),Contender,Warm,4,Early heavy producer; stringless; cold tolerant,50,1.5,After last frost,7,4,24,No
Cabbage,Copenhagen Market,Cool,18,Round heads; early maturing heirloom,72,0.5,Start indoors or direct sow spring/fall,7,18,24,No
Carrot,Cosmic Purple,Cool,2,Purple exterior; orange interior; sweet,70,0.25,Early spring or fall,14,1,12,2 inches
Squash (Summer),Costata Romanesco,Warm,36,Italian heirloom; ribbed; nutty flavor,55,1,After last frost,7,36,48,No
Tomato,Costoluto Genovese Pole,Warm,24,Indeterminate; deeply ribbed Italian heirloom,80,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Watermelon,Cream of Saskatchewan,Warm,60,Small icebox; cream-colored flesh; sweet,80,1,After last frost,7,60,72,No
Tomato,Cream Sausage Bush,Warm,24,Determinate; cream-yellow paste type,75,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Cover Crop,Crimson Clover,Cool,2,Nitrogen fixer; beautiful red blooms,0,0.25,Fall or early spring,7,2,6,No
Radish,Crimson Giant,Cool,3,Large round red; stays crisp when big,28,0.5,Early spring or fall,5,1,12,3 inches
Watermelon,Crimson Sweet,Warm,60,Classic striped; sweet red flesh,85,1,After last frost,7,60,72,No
Carrot,Danvers 126,Cool,2,Classic heirloom; adaptable to heavy soil,75,0.25,Early spring or fall,14,1,12,2 inches
Kale,Dazzling Blue,Cool,18,Lacinato type with purple stems; blue-green leaves,55,0.5,Early spring or fall,7,18,24,No
Beet,Detroit Dark Red,Cool,4,Classic smooth round dark red beet,55,0.5,Early spring or fall,7,1,12,4 inches
Broccoli,Di Cicco,Cool,18,Italian heirloom; many side shoots after main head,50,0.5,Start indoors or direct sow spring/fall,7,18,24,No
Squash (Summer),Dirani,Warm,36,Middle Eastern cousa type; harvest small,50,1,After last frost,7,36,48,No
Kale,Dwarf Blue Curled,Cool,18,Compact curly kale; cold hardy,55,0.5,Early spring or fall,7,18,24,No
Pepper (Chile),Early Jalapeño,Warm,18,Early maturing jalapeño; medium heat,65,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Squash (Summer),Early Prolific Straightneck,Warm,36,Yellow straightneck; very productive,50,1,After last frost,7,36,48,No
Microgreens,Early Wonder Beet,Cool,1,Deep red beet microgreens; earthy flavor,10,0.25,Indoor sowing year-round,5,1,4,No
Beet,Early Wonder,Cool,4,Quick maturing; great greens and roots,50,0.5,Early spring or fall,7,1,12,4 inches
Radish,Easter Egg Blend,Cool,2,Mix of colorful round radishes,28,0.5,Early spring or fall,5,1,12,2 inches
Amaranth,Edible Red Leaf,Warm,12,Ornamental and edible; red-purple leaves,50,0.125,After last frost,7,12,18,No
Garlic,Elephant Hardneck,Cool,8,USDA Organic; very large cloves; mild flavor,240,2,Fall planting,14,8,12,No
Squash (Summer),Emerald Delight,Warm,36,Dark green zucchini; compact plant,50,1,After last frost,7,36,48,No
Lettuce,Ezrilla Leaf,Cool,6,Red-tinged loose leaf; bolt resistant,50,0.125,Early spring or fall,7,1,12,6 inches
Lettuce,Farmer's Market Blend Mesclun,Cool,2,Diverse mesclun mix for market gardens,28,0.125,Early spring or fall,7,2,12,No
Cover Crop,Fava Bean,Cool,6,Nitrogen fixer; edible beans and tops,0,1.5,Fall or early spring,10,6,18,No
Sprouts,Fenugreek,Cool,0,Slightly sweet and nutty sprouts,5,0,Indoor sprouting year-round,2,0,0,No
Bean (Bush),Ferrari,Warm,4,Slim dark green filet bean; tender,55,1.5,After last frost,7,4,24,No
Swiss Chard,Five Color Silverbeet,Cool,6,Mix of five stem colors; heirloom,55,0.5,Early spring or fall,7,2,18,6 inches
Onion (Bulb),Flat of Italy Cipollini,Warm,4,Flat Italian cipollini; sweet for caramelizing,110,0.25,Start indoors 8-10 weeks before last frost,10,4,12,No
Mustard,Florida Broadleaf,Cool,8,Large flat leaves; mild mustard flavor,45,0.5,Early spring or fall,5,8,18,No
Swiss Chard,Fordhook Giant,Cool,8,Large thick white stems; dark green leaves,55,0.5,Early spring or fall,7,2,18,8 inches
Tomato,Fortamino Rootstock,Warm,24,Rootstock variety for grafting; vigorous roots,0,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Radish,French Breakfast,Cool,2,Oblong red and white; mild crisp,25,0.5,Early spring or fall,5,1,12,2 inches
Bean (Bush),French Filet,Warm,4,Slender gourmet haricots verts,55,1.5,After last frost,7,4,24,No
Mustard,Gai Choy,Cool,8,Asian mustard; pungent flavor; thick stems,45,0.5,Early spring or fall,5,8,18,No
Pumpkin,Galeux d'Eysines,Warm,72,Warty salmon-pink French heirloom; sweet,100,1,After last frost,7,72,96,No
Sprouts,Garbanzo Bean,Cool,0,Chickpea sprouts; nutty and crunchy,5,0,Indoor sprouting year-round,2,0,0,No
Tomato (Cherry),Gardener's Delight Pole,Warm,24,Indeterminate; sweet red cherry; prolific,65,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Squash (Summer),Gelber Englischer Patty Pan,Warm,36,Yellow scallop/patty pan; German heirloom,55,1,After last frost,7,36,48,No
Collards,Georgia Southern,Cool,18,Classic Southern heirloom; large blue-green leaves,75,0.5,Early spring or late summer,7,18,36,No
Garlic,German White Stiffneck Hardneck,Cool,6,USDA Organic; porcelain type; robust flavor,240,2,Fall planting,14,6,12,No
Pepper (Chile),Ghost Bhut Jolokia,Warm,24,Extremely hot; one of the world's hottest,120,0.25,Start indoors 10-12 weeks before last frost,21,24,36,No
Tomato,Glacier Bush,Warm,24,Determinate; very early; cold tolerant,55,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Onion (Bulb),Gladstone,Warm,4,White globe; sweet mild flavor; good storage,105,0.25,Start indoors 8-10 weeks before last frost,10,4,12,No
Corn (Flint),Glass Gem,Warm,10,Stunning multicolored translucent kernels; ornamental,110,1.5,After last frost,7,10,30,No
Bean (Bush),Gold Rush,Warm,4,Bright yellow wax bean; tender and stringless,55,1.5,After last frost,7,4,24,No
Beet,Golden Boy,Cool,4,Bright golden interior; doesn't bleed,55,0.5,Early spring or fall,7,1,12,4 inches
Pepper (Sweet),Golden Cal Wonder,Warm,18,Golden yellow bell pepper; sweet,75,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Tomato,Golden Jubilee Pole,Warm,24,Indeterminate; golden-yellow; low acid; mild,80,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Lettuce,Gourmet Baby Greens Mesclun,Cool,2,Mix of baby lettuces for salads,28,0.125,Early spring or fall,7,2,12,No
Beet,Gourmet Blend,Cool,4,Mix of beet varieties; colorful,55,0.5,Early spring or fall,7,1,12,4 inches
Tomatillo,Grande Rio Verde,Warm,24,Large green fruit; great for salsa verde,75,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Lettuce,Great Lakes 118 Crisphead,Cool,12,Iceberg type; crisp tight heads,85,0.125,Early spring or fall,7,1,18,12 inches
Pea (Shelling),Green Arrow,Cool,3,High yielding; double pods; sweet,68,1,Early spring as soon as soil can be worked,10,3,24,No
Artichoke,Green Globe Improved,Cool,48,Perennial in mild climates; large globe buds,180,0.25,Start indoors 8-10 weeks before last frost,14,48,72,No
Tomato,Green Zebra Pole,Warm,24,Indeterminate; green striped; tangy sweet,78,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Pepper (Chile),Habanero,Warm,18,Very hot; fruity intense flavor; lantern shape,95,0.25,Start indoors 8-10 weeks before last frost,14,18,24,No
Cover Crop,Hairy Vetch,Cool,2,Winter-hardy nitrogen fixer,0,0.5,Late summer or early fall,7,2,6,No
Melon,Hale's Best Jumbo Cantaloupe,Warm,36,Classic muskmelon; thick sweet flesh,85,0.5,After last frost,7,36,72,No
Melon,Hearts of Gold Cantaloupe,Warm,36,Small round; deep orange flesh; very sweet,80,0.5,After last frost,7,36,72,No
Cucumber,Hokus Gherkin,Warm,12,Small pickling gherkin; very productive,55,0.5,After last frost,7,12,48,No
Cucumber,Homemade Pickles,Warm,12,Ideal for pickling; prolific,55,0.5,After last frost,7,12,48,No
Corn (Sweet),Honey and Cream,Warm,10,Bicolor; sweet tender ears,78,1.5,After last frost,7,10,30,No
Squash (Winter),Honey Boat Delicata,Warm,36,Sweet delicata; edible skin; compact vines,100,1,After last frost,7,36,72,No
Squash (Winter),Honeynut,Warm,36,Mini butternut; extra sweet; rich flavor,100,1,After last frost,7,36,72,No
Pumpkin,Howden,Warm,72,Classic jack-o-lantern; sturdy handle,115,1,After last frost,7,72,96,No
Lettuce,Ice Queen (Reine des Glaces) Crisphead,Cool,10,Lacy serrated leaves; heat tolerant,55,0.125,Early spring or fall,7,1,12,10 inches
Garlic,Inchelium Red Softneck,Cool,6,USDA Organic; softneck; mild rich flavor,240,2,Fall planting,14,6,12,No
Tomato (Cherry),Indigo Rose Pole,Warm,24,Indeterminate; dark purple-blue skin; antioxidant rich,75,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Pea (Shelling),Iona Petite,Cool,3,Small sweet peas; compact vines,60,1,Early spring as soon as soil can be worked,10,3,24,No
Microgreens,Italian Amaro Blend,Cool,1,Bitter Italian greens mix microgreens,12,0.125,Indoor sowing year-round,5,1,4,No
Onion (Bunching/Scallion),Italian Red of Florence,Warm,4,Long red bunching onion; mild sweet,65,0.25,Early spring,10,4,12,No
Tomato,Italian Roma Bush,Warm,24,Determinate; classic paste tomato; meaty,75,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Pumpkin,Jack Be Little,Warm,36,Miniature orange; edible and decorative,95,1,After last frost,7,36,72,No
Pumpkin,Jack O'Lantern,Warm,72,Classic carving pumpkin; medium size,100,1,After last frost,7,72,96,No
Bean (Bush),Jade,Warm,4,Dark green; straight pods; heat tolerant,55,1.5,After last frost,7,4,24,No
Pumpkin,Jarrahdale,Warm,72,Blue-grey Australian heirloom; sweet flesh,100,1,After last frost,7,72,96,No
Parsnip,Javelin,Cool,4,Smooth long roots; sweet after frost,120,0.5,Early spring direct sow,14,1,18,4 inches
Microgreens,Jazzy Mix,Cool,1,Colorful microgreens blend; mild flavor,10,0.125,Indoor sowing year-round,5,1,4,No
Eggplant,Jewel Amethyst,Warm,24,Small purple-pink fruit; tender and sweet,65,0.25,Start indoors 8-10 weeks before last frost,10,24,30,No
Pepper (Sweet),Jimmy Nardello,Warm,18,Long Italian frying pepper; sweet when red,80,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Bean (Pole),Kentucky Wonder,Warm,6,Classic heirloom; great flavor; heavy producer,65,1.5,After last frost,7,6,36,No
Leek,King Richard,Cool,6,Long white shanks; mild onion flavor,75,0.25,Start indoors 8-10 weeks before last frost,10,6,12,No
Squash (Winter),Kurinishiki Kabocha,Warm,36,Japanese winter squash; sweet dense flesh,95,1,After last frost,7,36,72,No
Kale,Lacinato Dinosaur,Cool,18,Italian heirloom; dark blue-green strap leaves,60,0.5,Early spring or fall,7,18,24,No
Cover Crop,Lacy Phacelia,Cool,4,Great pollinator plant; loosens soil,0,0.25,Spring or fall,7,4,12,No
Squash (Winter),Lakota,Warm,48,Striking red-orange pear shape; Native American heirloom,100,1,After last frost,7,48,72,No
Spinach,Lavewa,Cool,4,Semi-savoy; dark green; bolt resistant,40,0.5,Early spring or fall,7,1,12,4 inches
Cucumber,Lemon,Warm,18,Round yellow fruit; mild sweet flavor,65,0.5,After last frost,7,18,48,No
Pepper (Chile),Lemon Drop,Warm,18,Bright yellow; citrusy hot flavor,80,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Carrot,Little Finger,Cool,2,Baby Nantes type; sweet and tender,55,0.25,Early spring or fall,14,1,12,2 inches
Lettuce,Little Gem Mini-Romaine,Cool,6,Compact romaine; sweet crispy hearts,55,0.125,Early spring or fall,7,6,12,No
Pea (Shelling),Little Marvel Petite,Cool,3,Compact vines; plump sweet peas,62,1,Early spring as soon as soil can be worked,10,3,24,No
Brussels Sprouts,Long Island Improved,Cool,24,Classic heirloom; compact sprouts,100,0.5,Start indoors or direct sow late spring,7,24,30,No
Eggplant,Long Purple,Warm,24,Slender dark purple fruit; heirloom,80,0.25,Start indoors 8-10 weeks before last frost,10,24,30,No
Gourd,Luffa,Warm,36,Sponge gourd; harvest mature for scrubbing,90,1,Start indoors or after last frost,10,36,72,No
Garlic,Majestic Hardneck,Cool,6,USDA Organic; large purple-striped bulbs,240,2,Fall planting,14,6,12,No
Pea (Snow),Mammoth Melting,Cool,3,Tall vines; large flat sweet pods,68,1,Early spring as soon as soil can be worked,10,3,24,No
Radish,Mantanghong Watermelon,Cool,3,White exterior; bright pink interior; sweet,55,0.5,Early spring or fall,5,1,12,3 inches
Baby Greens,Market Day Lettuce Mesclun,Cool,2,Baby lettuce blend for salads,25,0.125,Early spring or fall,7,2,12,No
Cucumber,Marketmore,Warm,18,Dark green slicing; disease resistant; prolific,65,0.5,After last frost,7,18,48,No
Corn (Sweet),Martian Jewels,Warm,10,Multicolored sweet corn; unique appearance,80,1.5,After last frost,7,10,30,No
Lettuce,Marvel of Four Seasons Butterhead,Cool,10,French heirloom; red-tinged; heat and cold tolerant,55,0.125,Early spring or fall,7,1,12,10 inches
Squash (Winter),Mashed Potatoes Acorn,Warm,36,White acorn; dry fluffy flesh like mashed potatoes,85,1,After last frost,7,36,72,No
Spinach,Matador,Cool,4,Smooth leaf; bolt resistant; dark green,40,0.5,Early spring or fall,7,1,12,4 inches
Squash (Summer),Max's Gold,Warm,36,Golden yellow zucchini; productive,50,1,After last frost,7,36,48,No
Bean (Bush),Maxibel Filet,Warm,4,Extra-long slim French filet bean,55,1.5,After last frost,7,4,24,No
Pepper (Chile),Megatron Jalapeño,Warm,18,Large jalapeño; thick walls; medium heat,70,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Microgreens,Mellow Blend,Cool,1,Mild microgreens blend; great for beginners,10,0.125,Indoor sowing year-round,5,1,4,No
Celery,Merengo,Cool,8,Dark green stalks; aromatic; bolt resistant,85,0.125,Start indoors 10-12 weeks before last frost,14,8,24,No
Microgreens,Mild Mix,Cool,1,Gentle flavored microgreens mix,10,0.125,Indoor sowing year-round,5,1,4,No
Melon,Minnesota Midget Cantaloupe,Warm,24,Compact vines; small sweet melon; early,75,0.5,After last frost,7,24,48,No
Radish,Miyashige White Daikon,Cool,4,Long white Japanese radish; mild,50,0.5,Late summer or fall,5,1,12,4 inches
Mustard,Mizuna,Cool,6,Japanese feathery leaves; mild peppery,40,0.25,Early spring or fall,5,6,12,No
Onion (Bulb),Monastrell,Warm,4,Large red-brown bulb; good storage,110,0.25,Start indoors 8-10 weeks before last frost,10,4,12,No
Tomato,Moneymaker Pole,Warm,24,Indeterminate; reliable medium red slicer,80,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Garlic,Montana Zemo Hardneck,Cool,6,USDA Organic; cold-hardy; robust flavor,240,2,Fall planting,14,6,12,No
Tomato,Moskvich Pole,Warm,24,Indeterminate; Russian heirloom; cold tolerant; early,60,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Tomato,Mountain Merit Bush,Warm,24,Determinate; disease resistant; large slicer,75,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Watermelon,Mountain Sweet Yellow,Warm,60,Oblong; sweet yellow flesh; heirloom,95,1,After last frost,7,60,72,No
Melon,Mouse Melon Cucamelon,Warm,12,Tiny grape-sized; looks like mini watermelon; tangy,65,0.5,After last frost,7,12,36,No
Cucumber,Muncher Persian,Warm,18,Thin-skinned; burpless; sweet,60,0.5,After last frost,7,18,48,No
Sprouts,Mung Bean,Cool,0,Classic bean sprouts; crunchy; mild,4,0,Indoor sprouting year-round,2,0,0,No
Garlic,Music Hardneck,Cool,6,USDA Organic; porcelain hardneck; large cloves,240,2,Fall planting,14,6,12,No
Lettuce,New Red Fire Leaf,Cool,8,Deep red leaf; heat tolerant; bolt resistant,55,0.125,Early spring or fall,7,1,12,8 inches
Spinach,New Zealand,Warm,12,Heat tolerant; not true spinach; sprawling habit,55,0.5,After last frost,14,12,24,No
Pepper (Chile),NuMex Heritage Big Jim Hatch,Warm,18,Large Hatch chile; mild heat; roasting pepper,80,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Pepper (Chile),NuMex Joe E. Parker Anaheim,Warm,18,Anaheim type; mild heat; great for roasting,80,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Pepper (Chile),NuMex Lemon Spice Jalapeño,Warm,18,Yellow jalapeño; citrusy flavor; medium heat,75,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Spinach,Oceanside,Cool,4,Dark green; smooth leaves; bolt resistant,40,0.5,Early spring or fall,7,1,12,4 inches
Endive,Olesh Tres Fine,Cool,10,Finely cut frisée; slightly bitter; elegant,60,0.125,Early spring or fall,7,1,12,10 inches
Cabbage,One Kilo Slow Bolt Napa,Cool,12,Napa/Chinese cabbage; slow to bolt; tender,70,0.5,Late summer or early spring,5,12,18,No
Pepper (Sweet),Orange Sun,Warm,18,Bright orange bell; sweet and fruity,80,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Pea (Snow),Oregon Sugar Pod II,Cool,3,Stringless snow pea; short vines; productive,65,1,Early spring as soon as soil can be worked,10,3,24,No
Bean (Yard Long),Orient Wonder Pole,Warm,6,Long thin pods up to 18 inches; heat loving,80,1.5,After last frost,7,6,36,No
Tomato,Oxheart Pole,Warm,24,Indeterminate; large heart-shaped; meaty,85,0.25,Start indoors 6-8 weeks before last frost,7,24,36,No
Pepper (Chile),Padron,Warm,18,Spanish tapas pepper; mild with occasional hot,60,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Corn (Sweet),Painted Hill,Warm,10,Early multicolored; sweet; adapted to cool climates,75,1.5,After last frost,7,10,30,No
Radicchio,Palla Rossa Mavrik,Cool,10,Red and white Italian chicory; slightly bitter,75,0.25,Mid to late summer,7,1,12,10 inches
Lettuce,Parris Island Cos Romaine,Cool,10,Classic tall romaine; crisp; heat tolerant,70,0.125,Early spring or fall,7,1,12,10 inches
Pepper (Chile),Pasilla Bajio Chilaca,Warm,18,Long dark green drying chile; mild,80,0.25,Start indoors 8 weeks before last frost,14,18,24,No
Tomato (Cherry),Patio Choice Yellow Bush,Warm,18,Determinate; compact; yellow cherry; container friendly,55,0.25,Start indoors 6-8 weeks before last frost,7,18,24,No
Baby Greens,Pea Shoots,Cool,1,Tender pea tendrils and leaves; sweet,20,1,Early spring or indoor sowing,5,1,4,No
Swiss Chard,Perpetual Spinach,Cool,8,Spinach-like chard; smooth leaves; mild flavor,50,0.5,Early spring or fall,7,2,18,8 inches
